id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"First Principles Reasoning",mental-models,ARTIFACTS_READY,complete,"Elon Musk/Aristotle",high,42,"contexts/patterns/first-principles-reasoning/SKILL.md","SKILL.md generated 2025-12-08, 86 lines"
2,"Five Whys",mental-models,ARTIFACTS_READY,complete,"Toyota/Taiichi Ohno",medium,42,"contexts/patterns/five-whys/SKILL.md","SKILL.md generated 2025-12-08, 134 lines"
3,"Socratic Questioning",mental-models,ARTIFACTS_READY,complete,"Socrates",medium,38,"contexts/patterns/socratic-questioning/SKILL.md","SKILL.md generated 2025-12-08, 111 lines"
4,"Cook vs. Chef Mental Model",mental-models,ARTIFACTS_READY,complete,"Tim Urban - Wait But Why",medium,36,"contexts/patterns/cook-vs-chef/SKILL.md","SKILL.md generated 2025-12-08, 106 lines"
5,"Thinking in Bets",mental-models,ARTIFACTS_READY,complete,"Annie Duke",high,44,"contexts/patterns/thinking-in-bets/SKILL.md","SKILL.md generated 2025-12-08, 122 lines"
6,"Expected Value Calculation",mental-models,ARTIFACTS_READY,complete,"Statistics/Decision Theory",high,40,"contexts/patterns/expected-value-calculation/SKILL.md","SKILL.md generated 2025-12-08, 126 lines"
7,"Confidence Intervals",mental-models,ARTIFACTS_READY,complete,"Statistics/Decision Theory",medium,38,"contexts/patterns/confidence-intervals/SKILL.md","SKILL.md generated 2025-12-09, 127 lines"
8,"Calibration",mental-models,ARTIFACTS_READY,complete,"Philip Tetlock",medium,42,"contexts/patterns/calibration/SKILL.md","SKILL.md generated 2025-12-09, 156 lines"
9,"Base Rate Analysis",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,44,"contexts/patterns/base-rate-analysis/SKILL.md","SKILL.md generated 2025-12-09, 165 lines"
10,"Outside View vs. Inside View",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,46,"contexts/patterns/outside-view-inside-view/SKILL.md","SKILL.md generated 2025-12-09, 172 lines"
11,"Bayes' Theorem",mental-models,ARTIFACTS_READY,complete,"Thomas Bayes",high,44,"contexts/patterns/bayes-theorem/SKILL.md","SKILL.md generated 2025-12-09, 112 lines"
12,"Nash Equilibrium",mental-models,ARTIFACTS_READY,complete,"John Nash",high,42,"contexts/patterns/nash-equilibrium/SKILL.md","SKILL.md generated 2025-12-09, 121 lines"
13,"Prisoner's Dilemma",mental-models,ARTIFACTS_READY,complete,"Game theory",high,44,"contexts/patterns/prisoners-dilemma/SKILL.md","SKILL.md generated 2025-12-09, 130 lines"
14,"Dominant Strategy Analysis",mental-models,ARTIFACTS_READY,complete,"Game theory",medium,40,"contexts/patterns/dominant-strategy-analysis/SKILL.md","SKILL.md generated 2025-12-09, 128 lines"
15,"Zero-Sum vs. Positive-Sum",mental-models,ARTIFACTS_READY,complete,"Von Neumann & Morgenstern",medium,41,"contexts/patterns/zero-sum-positive-sum/SKILL.md","SKILL.md generated 2025-12-09, 111 lines"
16,"Tit-for-Tat",mental-models,ARTIFACTS_READY,complete,"Axelrod/Rapoport",medium,44,"contexts/patterns/tit-for-tat/SKILL.md","SKILL.md generated 2025-12-09, 119 lines"
17,"Coordination Games",mental-models,ARTIFACTS_READY,complete,"Schelling",medium,42,"contexts/patterns/coordination-games/SKILL.md","SKILL.md generated 2025-12-09, 136 lines"
18,"Mechanism Design",mental-models,ARTIFACTS_READY,complete,"Hurwicz/Maskin/Myerson",medium,39,"contexts/patterns/mechanism-design/SKILL.md","SKILL.md generated 2025-12-09, 156 lines"
19,"Porter's Five Forces",mental-models,ARTIFACTS_READY,complete,"Michael Porter",high,46,"contexts/patterns/porters-five-forces/SKILL.md","SKILL.md generated 2025-12-09, 171 lines"
