id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"OODA Loop (Boyd Cycle)",mental-models,ARTIFACTS_READY,detailed,"Col. John Boyd",high,46,contexts/patterns/ooda-loop/SKILL.md,"Observe, Orient, Decide, Act; tempo advantages in competitive dynamics - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
2,"Fog of War",mental-models,ARTIFACTS_READY,detailed,"Carl von Clausewitz",high,42,contexts/patterns/fog-of-war/SKILL.md,"Navigate uncertainty and incomplete information - Practitioner 8/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
3,"Force Multipliers",mental-models,ARTIFACTS_READY,detailed,"Military Strategy",high,44,contexts/patterns/force-multipliers/SKILL.md,"Amplify effectiveness exponentially through leverage - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
4,"Center of Gravity",mental-models,ARTIFACTS_READY,detailed,"Carl von Clausewitz",high,40,contexts/patterns/center-of-gravity/SKILL.md,"Identify critical capability that ensures decisive advantage - Practitioner 8/10, Clarity 7/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
5,"Maneuver Warfare",mental-models,ARTIFACTS_READY,detailed,"Col. John Boyd",high,46,contexts/patterns/maneuver-warfare/SKILL.md,"Defeat through speed and disruption over attrition - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
6,"Schwerpunkt",mental-models,ARTIFACTS_READY,detailed,"Military Strategy - Clausewitz",high,42,contexts/patterns/schwerpunkt/SKILL.md,"Point of main effort, decisive focal point - Practitioner 8/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
7,"Lines of Operation vs. Effort",mental-models,ARTIFACTS_READY,detailed,"Joint Military Doctrine - JP 5-0",medium,33,contexts/patterns/lines-of-operation-vs-effort/SKILL.md,"Geographic vs. effects-oriented campaign planning - Practitioner 7/10, Clarity 7/10, ROI 7/10, Novelty 6/10, Cross-domain 6/10"
8,"Dichotomy of Control",mental-models,ARTIFACTS_READY,detailed,"Stoic Philosophy - Epictetus",high,45,contexts/patterns/dichotomy-of-control/SKILL.md,"Focus only on what you control - Practitioner 9/10, Clarity 10/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
9,"Negative Visualization (Premeditatio Malorum)",mental-models,ARTIFACTS_READY,detailed,"Stoic Philosophy - Seneca, Epictetus",high,43,contexts/patterns/negative-visualization/SKILL.md,"Imagine losses to build resilience and gratitude - Practitioner 9/10, Clarity 10/10, ROI 8/10, Novelty 7/10, Cross-domain 9/10"
10,"Memento Mori",mental-models,ARTIFACTS_READY,detailed,"Stoic Philosophy - Marcus Aurelius",high,42,contexts/patterns/memento-mori/SKILL.md,"Remember death to create urgency, perspective, and gratitude - Practitioner 9/10, Clarity 10/10, ROI 8/10, Novelty 6/10, Cross-domain 9/10"
11,"View from Above",mental-models,ARTIFACTS_READY,detailed,"Stoic Philosophy - Marcus Aurelius",high,44,contexts/patterns/view-from-above/SKILL.md,"Visualize from cosmic perspective for tranquility and clarity - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
12,"Voluntary Discomfort",mental-models,ARTIFACTS_READY,detailed,"Stoic Philosophy - Seneca, Musonius Rufus",high,45,contexts/patterns/voluntary-discomfort/SKILL.md,"Practice hardship to build resilience and reduce fear - Practitioner 10/10, Clarity 10/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
13,"Goal Internalization",mental-models,ARTIFACTS_READY,detailed,"Stoic Philosophy - William Irvine",high,44,contexts/patterns/goal-internalization/SKILL.md,"Transform external outcomes to internal process goals you control - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
14,"Five Aggregates (Skandhas)",mental-models,ARTIFACTS_READY,detailed,"Buddhist Philosophy",medium,38,contexts/patterns/five-aggregates/SKILL.md,"Deconstruct experience into form, sensation, perception, formations, consciousness - Practitioner 8/10, Clarity 8/10, ROI 7/10, Novelty 8/10, Cross-domain 7/10"
15,"Dependent Origination",mental-models,ARTIFACTS_READY,detailed,"Buddhist Philosophy",medium,40,contexts/patterns/dependent-origination/SKILL.md,"Everything arises through interconnected causes and conditions - systems thinking for leverage points - Practitioner 8/10, Clarity 7/10, ROI 8/10, Novelty 8/10, Cross-domain 9/10"
16,"Three Marks of Existence",mental-models,ARTIFACTS_READY,detailed,"Buddhist Philosophy",high,41,contexts/patterns/three-marks-of-existence/SKILL.md,"Impermanence, unsatisfactoriness, non-self - reduce suffering through realistic expectations - Practitioner 9/10, Clarity 9/10, ROI 8/10, Novelty 7/10, Cross-domain 8/10"
17,"Four Noble Truths",mental-models,ARTIFACTS_READY,detailed,"Buddhist Philosophy",high,43,contexts/patterns/four-noble-truths/SKILL.md,"Buddhism's problem-solving framework: identify suffering, diagnose cause, envision resolution, implement path - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
18,"Noble Eightfold Path",mental-models,ARTIFACTS_READY,detailed,"Buddhist Philosophy - Buddha",high,41,contexts/patterns/noble-eightfold-path/SKILL.md,"Framework for liberation from suffering through wisdom, ethics, mental discipline - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 7/10, Cross-domain 9/10"
19,"Mindfulness",mental-models,ARTIFACTS_READY,detailed,"Jon Kabat-Zinn - MBSR, Buddhist tradition",high,45,contexts/patterns/mindfulness/SKILL.md,"Present-moment awareness without judgment for stress reduction and skillful response - Practitioner 10/10, Clarity 10/10, ROI 9/10, Novelty 6/10, Cross-domain 10/10"
20,"Emptiness (Śūnyatā)",mental-models,ARTIFACTS_READY,detailed,"Buddhist Philosophy - Nagarjuna",medium,37,contexts/patterns/emptiness/SKILL.md,"Nothing has fixed independent existence, reduce suffering through non-clinging - Practitioner 7/10, Clarity 6/10, ROI 7/10, Novelty 9/10, Cross-domain 8/10"
21,"Wu Wei",mental-models,ARTIFACTS_READY,detailed,"Taoist Philosophy - Laozi",high,42,contexts/patterns/wu-wei/SKILL.md,"Effortless action through alignment with natural flow, achieve by non-forcing - Practitioner 9/10, Clarity 7/10, ROI 8/10, Novelty 8/10, Cross-domain 10/10"
22,"Yin-Yang Balance",mental-models,ARTIFACTS_READY,detailed,"Taoist Philosophy",high,43,contexts/patterns/yin-yang-balance/SKILL.md,"Complementary opposites in dynamic balance - Practitioner 9/10, Clarity 8/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
23,"Te (Virtue/Power)",mental-models,ARTIFACTS_READY,detailed,"Tao Te Ching - Laozi",high,41,contexts/patterns/te-virtue-power/SKILL.md,"Authentic power through alignment with natural way - Practitioner 9/10, Clarity 7/10, ROI 8/10, Novelty 8/10, Cross-domain 9/10"
24,"P'u (Uncarved Block)",mental-models,ARTIFACTS_READY,detailed,"Tao Te Ching - Laozi",high,41,contexts/patterns/pu-uncarved-block/SKILL.md,"Natural simplicity preserves potential and power - Practitioner 8/10, Clarity 8/10, ROI 8/10, Novelty 8/10, Cross-domain 9/10"
25,"Dialectical Monism",mental-models,ARTIFACTS_READY,detailed,"Taoist Philosophy",high,39,contexts/patterns/dialectical-monism/SKILL.md,"Unity expressing through complementary opposites - Practitioner 7/10, Clarity 6/10, ROI 8/10, Novelty 9/10, Cross-domain 9/10"
26,"Epistemic vs. Instrumental Rationality",mental-models,ARTIFACTS_READY,detailed,"LessWrong",high,42,contexts/patterns/epistemic-vs-instrumental-rationality/SKILL.md,"Truth-seeking vs. winning - two complementary modes of rationality - Practitioner 8/10, Clarity 9/10, ROI 8/10, Novelty 7/10, Cross-domain 10/10"
