id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Design Patterns (Structural)",practitioner-frameworks,ARTIFACTS_READY,detailed,"Gang of Four - Design Patterns",high,43,contexts/patterns/design-patterns-structural/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 9/10"
2,"Design Patterns (Behavioral)",practitioner-frameworks,ARTIFACTS_READY,detailed,"Gang of Four - Design Patterns",high,43,contexts/patterns/design-patterns-behavioral/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 9/10"
3,"Design Patterns (Creational)",practitioner-frameworks,ARTIFACTS_READY,detailed,"Gang of Four - Design Patterns",high,43,contexts/patterns/design-patterns-creational/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 9/10"
4,"Microservices Architecture",practitioner-frameworks,ARTIFACTS_READY,detailed,"Sam Newman - Building Microservices",high,44,contexts/patterns/microservices-architecture/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 8/10"
5,"Event-Driven Architecture",practitioner-frameworks,ARTIFACTS_READY,detailed,"Solace, Martin Fowler, microservices.io",high,46,contexts/patterns/event-driven-architecture/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 10/10"
6,"CQRS",practitioner-frameworks,ARTIFACTS_READY,detailed,"Greg Young, Martin Fowler, Microsoft Azure",high,45,contexts/patterns/cqrs/SKILL.md,"Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
7,"SOLID Principles",practitioner-frameworks,ARTIFACTS_READY,detailed,"Robert C. Martin - Clean Code",high,48,contexts/patterns/solid-principles/SKILL.md,"Code quality framework - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 8/10, Cross-domain 10/10"
8,"DRY",practitioner-frameworks,ARTIFACTS_READY,detailed,"Andy Hunt, Dave Thomas - Pragmatic Programmer",high,42,contexts/patterns/dry-principle/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 5/10, Cross-domain 8/10"
9,"YAGNI",practitioner-frameworks,ARTIFACTS_READY,detailed,"Kent Beck - Extreme Programming",high,44,contexts/patterns/yagni-principle/SKILL.md,"Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 8/10"
10,"Refactoring Methodologies",practitioner-frameworks,ARTIFACTS_READY,detailed,"Martin Fowler - Refactoring",high,46,contexts/patterns/refactoring-methodologies/SKILL.md,"Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 7/10, Cross-domain 9/10"
