id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"12 Leverage Points",mental-models,ARTIFACTS_READY,complete,"Donella Meadows - Thinking in Systems",high,48,"contexts/patterns/12-leverage-points/SKILL.md","SKILL.md generated 2025-12-08, 154 lines"
2,"12 System Archetypes",mental-models,ARTIFACTS_READY,complete,"Donella Meadows/Senge - Thinking in Systems",high,46,"contexts/patterns/system-archetypes/SKILL.md","SKILL.md generated 2025-12-08, 128 lines"
3,"Feedback Loops",mental-models,ARTIFACTS_READY,complete,"Donella Meadows - Thinking in Systems",high,44,"contexts/patterns/feedback-loops/SKILL.md","SKILL.md generated 2025-12-08, 111 lines (pre-existing)"
4,"Stocks, Flows, and Delays",mental-models,ARTIFACTS_READY,complete,"Donella Meadows - Thinking in Systems",high,44,"contexts/patterns/stocks-flows-delays/SKILL.md","SKILL.md generated 2025-12-08, 261 lines"
5,"System Traps",mental-models,ARTIFACTS_READY,complete,"Donella Meadows - Thinking in Systems",medium,42,"contexts/patterns/system-traps/SKILL.md","SKILL.md generated 2025-12-08, 98 lines"
6,"Five Disciplines of Learning Organization",mental-models,ARTIFACTS_READY,complete,"Peter Senge - The Fifth Discipline",high,41,"contexts/patterns/five-disciplines-learning-organization/SKILL.md","SKILL.md generated 2025-12-08, 278 lines (updated from 96)"
7,"Learning Disabilities",mental-models,ARTIFACTS_READY,complete,"Peter Senge - The Fifth Discipline",medium,41,"contexts/patterns/learning-disabilities/SKILL.md","SKILL.md generated 2025-12-08, 95 lines"
8,"Deep Learning Cycle",mental-models,ARTIFACTS_READY,complete,"Peter Senge - The Fifth Discipline",medium,29,"contexts/patterns/deep-learning-cycle/SKILL.md","SKILL.md generated 2025-12-08, 93 lines"
9,"Five Focusing Steps",mental-models,ARTIFACTS_READY,complete,"Eliyahu Goldratt - Theory of Constraints",high,42,"contexts/patterns/five-focusing-steps/SKILL.md","SKILL.md generated 2025-12-09, 116 lines"
10,"Current Reality Tree",mental-models,ARTIFACTS_READY,complete,"Eliyahu Goldratt - Theory of Constraints",medium,37,"contexts/patterns/current-reality-tree/SKILL.md","SKILL.md generated 2025-12-09, 142 lines"
11,"Evaporating Cloud",mental-models,ARTIFACTS_READY,complete,"Eliyahu Goldratt - Theory of Constraints",medium,41,"contexts/patterns/evaporating-cloud/SKILL.md","SKILL.md generated 2025-12-09, 170 lines"
12,"Future Reality Tree",mental-models,ARTIFACTS_READY,complete,"Eliyahu Goldratt - Theory of Constraints",medium,36,"contexts/patterns/future-reality-tree/SKILL.md","SKILL.md generated 2025-12-09, 158 lines"
13,"Throughput Accounting",mental-models,ARTIFACTS_READY,complete,"Eliyahu Goldratt - Theory of Constraints",medium,38,"contexts/patterns/throughput-accounting/SKILL.md","SKILL.md generated 2025-12-09, 136 lines"
14,"Complex Adaptive Systems",mental-models,ARTIFACTS_READY,complete,"Santa Fe Institute",high,42,"contexts/patterns/complex-adaptive-systems/SKILL.md","SKILL.md generated 2025-12-09, 142 lines"
15,"Requisite Variety (Ashby's Law)",mental-models,ARTIFACTS_READY,complete,"W. Ross Ashby",medium,40,"contexts/patterns/requisite-variety/SKILL.md","SKILL.md generated 2025-12-09, 166 lines"
16,"Edge of Chaos",mental-models,ARTIFACTS_READY,complete,"Santa Fe Institute",medium,36,"contexts/patterns/edge-of-chaos/SKILL.md","SKILL.md generated 2025-12-09, 202 lines"
17,"Fitness Landscapes",mental-models,ARTIFACTS_READY,complete,"Santa Fe Institute - Stuart Kauffman NK Model",medium,43,"contexts/patterns/fitness-landscapes/SKILL.md","SKILL.md generated 2025-12-09, 153 lines"
18,"Attractors",mental-models,ARTIFACTS_READY,complete,"Complexity Theory - Dynamical Systems",medium,39,"contexts/patterns/attractors/SKILL.md","SKILL.md generated 2025-12-09, 202 lines"
19,"Agent-Based Dynamics",mental-models,ARTIFACTS_READY,complete,"Santa Fe Institute - Uri Wilensky NetLogo",medium,41,"contexts/patterns/agent-based-modeling/SKILL.md","SKILL.md generated 2025-12-09, 235 lines (Agent-Based Modeling)"
20,"Network Effects (16 types)",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Bible",high,46,"contexts/patterns/network-effects-16-types/SKILL.md","SKILL.md generated 2025-12-09, 306 lines"
21,"Physical Networks",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,41,"contexts/patterns/physical-networks/SKILL.md","SKILL.md generated 2025-12-09, 162 lines"
22,"Protocol Networks",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,42,"contexts/patterns/protocol-networks/SKILL.md","SKILL.md generated 2025-12-09, 162 lines"
23,"Personal Utility Networks",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,44,"contexts/patterns/personal-utility-networks/SKILL.md","SKILL.md generated 2025-12-09, 168 lines"
24,"Personal Networks",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,43,"contexts/patterns/personal-networks/SKILL.md","SKILL.md generated 2025-12-09, 170 lines"
25,"Marketplace Network Effects",mental-models,ARTIFACTS_READY,complete,"NFX - James Currier Network Effects Manual",high,44,"contexts/patterns/marketplace-network-effects/SKILL.md","SKILL.md generated 2025-12-10, 100 lines"
