id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Supply and Demand",mental-models,ARTIFACTS_READY,detailed,"Farnam Street, Economics",high,42,contexts/patterns/supply-and-demand/SKILL.md,"Fundamental economic principle - 71 lines"
2,"Scarcity",mental-models,ARTIFACTS_READY,detailed,"Farnam Street, Munger",high,40,contexts/patterns/scarcity/SKILL.md,"Resource limitation concept - 97 lines"
3,"Incentives",mental-models,ARTIFACTS_READY,detailed,"Charlie Munger, Farnam Street",high,45,contexts/patterns/incentives/SKILL.md,"Motivation and behavior drivers - 132 lines"
4,"Comparative Advantage",mental-models,ARTIFACTS_READY,detailed,"Ricardo, Economics",high,38,contexts/patterns/comparative-advantage/SKILL.md,"Trade and specialization principle - 125 lines"
5,"Economies of Scale",mental-models,ARTIFACTS_READY,detailed,"Walmart, Amazon, Munger",medium,43,contexts/patterns/economies-of-scale/SKILL.md,"Cost advantages from size - 133 lines"
6,"Marginal Utility",mental-models,ARTIFACTS_READY,detailed,"Netflix, Microeconomics",medium,39,contexts/patterns/marginal-utility/SKILL.md,"Additional satisfaction from consumption - 148 lines"
7,"Elasticity",mental-models,ARTIFACTS_READY,detailed,"Revenue Management, Airlines",medium,41,contexts/patterns/price-elasticity/SKILL.md,"Responsiveness to price changes - 186 lines"
8,"Switching Costs",mental-models,ARTIFACTS_READY,detailed,"Buffett, Hamilton Helmer",medium,45,contexts/patterns/switching-costs/SKILL.md,"Cost of changing providers - 242 lines"
9,"Sunk Costs",mental-models,ARTIFACTS_READY,detailed,"Behavioral Economics - Kahneman/Tversky",high,45,contexts/patterns/sunk-costs/SKILL.md,"Ignore unrecoverable past costs in decisions - 119 lines"
10,"Creative Destruction",mental-models,ARTIFACTS_READY,detailed,"Economics - Schumpeter",high,45,contexts/patterns/creative-destruction/SKILL.md,"Innovation systematically replaces old structures - 150 lines"
11,"Monopoly Dynamics",mental-models,ARTIFACTS_READY,detailed,"Economics - Thiel/Helmer/Buffett",medium,46,contexts/patterns/monopoly-dynamics/SKILL.md,"Market dominance through barriers and network effects - 163 lines"
12,"Arbitrage",mental-models,ARTIFACTS_READY,detailed,"Economics - Finance",medium,45,contexts/patterns/arbitrage/SKILL.md,"Exploit price differences across markets - 158 lines"
13,"Network Effects",mental-models,ARTIFACTS_READY,detailed,"NFX, Andrew Chen, Hamilton Helmer",high,46,contexts/patterns/network-effects/SKILL.md,"Self-reinforcing value growth with users - 163 lines"
14,"Moral Hazard",mental-models,ARTIFACTS_READY,detailed,"Kenneth Arrow, 2008 Financial Crisis analyses",medium,42,contexts/patterns/moral-hazard/SKILL.md,"Risk-taking when protected from consequences - 185 lines"
15,"Principal-Agent Problem",mental-models,ARTIFACTS_READY,detailed,"Jensen & Meckling, Charlie Munger",medium,44,contexts/patterns/principal-agent-problem/SKILL.md,"Misalignment between agent and principal - 205 lines"
16,"Tragedy of the Commons",mental-models,ARTIFACTS_READY,detailed,"Garrett Hardin, Elinor Ostrom Nobel research",high,45,contexts/patterns/tragedy-of-the-commons/SKILL.md,"Shared resources depleted by rational self-interest - 203 lines"
17,"Externalities",mental-models,ARTIFACTS_READY,detailed,"Economics - Pigou/Coase",high,42,contexts/patterns/externalities/SKILL.md,"Third-party costs/benefits not in market prices - 73 lines"
18,"Pareto Principle",mental-models,ARTIFACTS_READY,detailed,"Economics - Vilfredo Pareto",high,46,contexts/patterns/pareto-principle/SKILL.md,"80% of results from 20% of inputs - 74 lines"
19,"Compound Interest",mental-models,ARTIFACTS_READY,detailed,"Finance - Einstein attribution",high,47,contexts/patterns/compound-interest/SKILL.md,"Returns on returns create exponential growth - 75 lines"
