id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Design Systems",practitioner-frameworks,ARTIFACTS_READY,detailed,"Brad Frost - Atomic Design",high,46,contexts/patterns/design-systems/SKILL.md,"Component libraries and design systems - Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 7/10, Cross-domain 10/10"
2,"User Research Methodologies",practitioner-frameworks,ARTIFACTS_READY,detailed,"Nielsen Norman Group, UserInterviews.com",high,43,contexts/patterns/user-research-methodologies/SKILL.md,"Systematic user research methods - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 9/10"
3,"Information Architecture Frameworks",practitioner-frameworks,ARTIFACTS_READY,detailed,"Rosenfeld & Morville",high,44,contexts/patterns/information-architecture/SKILL.md,"Information ecology framework - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10"
4,"Interaction Design Patterns",practitioner-frameworks,ARTIFACTS_READY,detailed,"Material Design, HIG, UI-Patterns.com",medium,41,contexts/patterns/interaction-design-patterns/SKILL.md,"Reusable UI component patterns - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 8/10"
5,"WCAG",practitioner-frameworks,ARTIFACTS_READY,detailed,"W3C Web Accessibility Initiative",high,47,contexts/patterns/wcag/SKILL.md,"Web Content Accessibility Guidelines - Practitioner 10/10, Clarity 10/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
6,"ARIA",practitioner-frameworks,ARTIFACTS_READY,detailed,"W3C WAI",high,47,contexts/patterns/aria/SKILL.md,"Accessible Rich Internet Applications standard - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 8/10, Cross-domain 9/10"
7,"Visual Hierarchy Principles",practitioner-frameworks,ARTIFACTS_READY,complete,"Design fundamentals",high,44,"contexts/patterns/visual-hierarchy-principles/SKILL.md","SKILL.md generated 2025-12-10, 196 lines"
8,"Design of Everyday Things",practitioner-frameworks,UNKNOWN,one-liner,"Don Norman",high,0,,"Foundational design principles book"
9,"Don't Make Me Think",practitioner-frameworks,ARTIFACTS_READY,detailed,"Steve Krug",high,48,contexts/patterns/dont-make-me-think/SKILL.md,"Intuitive self-evident interface design - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 8/10, Cross-domain 10/10"
10,"Material Design",practitioner-frameworks,ARTIFACTS_READY,detailed,"Google",high,47,contexts/patterns/material-design/SKILL.md,"Google's comprehensive design system - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 7/10, Cross-domain 10/10"
11,"Human Interface Guidelines",practitioner-frameworks,ARTIFACTS_READY,detailed,"Apple",high,49,contexts/patterns/human-interface-guidelines/SKILL.md,"Apple's platform design standards - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 9/10, Cross-domain 10/10"
12,"Refactoring UI",practitioner-frameworks,ARTIFACTS_READY,detailed,"Adam Wathan & Steve Schoger",medium,45,contexts/patterns/refactoring-ui/SKILL.md,"Practical design tactics for developers - Practitioner 10/10, Clarity 10/10, ROI 10/10, Novelty 5/10, Cross-domain 10/10"
13,"Laws of UX",practitioner-frameworks,UNKNOWN,one-liner,"Jon Yablonski",medium,0,,"Collection of UX design principles"
