id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Munger's Latticework Approach",mental-models,ARTIFACTS_READY,complete,"Charlie Munger",high,44,"contexts/patterns/mungers-latticework/SKILL.md","SKILL.md generated 2025-12-08, 131 lines"
2,"Inversion",mental-models,COMPLETE,complete,"Charlie Munger/Shane Parrish - Jacobi (1800s), Munger (1990s-2000s)",high,46,"contexts/patterns/inversion/SKILL.md","Validated 2025-12-01, SKILL.md PASS (5/5 inclusion, 0 red flags, all technical checks pass, 86 lines)"
3,"First Principles Thinking",mental-models,ARTIFACTS_READY,complete,"Aristotle/Elon Musk",high,42,"contexts/patterns/first-principles-thinking/SKILL.md","SKILL.md generated 2025-12-08, 102 lines"
4,"Second-Order Thinking",mental-models,COMPLETE,dual-output,"Munger/Marks - Systems Thinking 1950s, popularized 1990s-2000s",high,45,"contexts/patterns/second-order-thinking/context.yaml","Validated 2025-10-29, YAML + SKILL both PASS (5/5 inclusion, 0 red flags, all technical checks pass)"
5,"Circle of Competence",mental-models,ARTIFACTS_READY,complete,"Charlie Munger/Warren Buffett",high,43,"contexts/patterns/circle-of-competence/SKILL.md","SKILL.md generated 2025-12-09, 59 lines"
6,"Margin of Safety",mental-models,ARTIFACTS_READY,complete,"Benjamin Graham",high,45,"contexts/patterns/margin-of-safety/SKILL.md","SKILL.md generated 2025-12-09, 58 lines"
7,"Map vs. Territory",mental-models,ARTIFACTS_READY,complete,"Alfred Korzybski",medium,41,"contexts/patterns/map-vs-territory/SKILL.md","SKILL.md generated 2025-12-09, 58 lines"
8,"Occam's Razor",mental-models,ARTIFACTS_READY,complete,"William of Ockham",medium,43,"contexts/patterns/occams-razor/SKILL.md","SKILL.md generated 2025-12-09, 59 lines"
9,"Hanlon's Razor",mental-models,ARTIFACTS_READY,complete,"Robert Hanlon",medium,42,"contexts/patterns/hanlons-razor/SKILL.md","SKILL.md generated 2025-12-10, 177 lines"
10,"Opportunity Cost",mental-models,ARTIFACTS_READY,complete,"Economics",high,46,"contexts/patterns/opportunity-cost/SKILL.md","SKILL.md generated 2025-12-10, 181 lines"
11,"Compounding Effects",mental-models,ARTIFACTS_READY,complete,"Multiple sources",high,49,"contexts/patterns/compounding-effects/SKILL.md","SKILL.md generated 2025-12-10, 211 lines"
12,"Leverage Points",mental-models,ARTIFACTS_READY,complete,"Donella Meadows",high,46,"contexts/patterns/leverage-points/SKILL.md","SKILL.md generated 2025-12-10, 232 lines"
13,"Via Negativa",mental-models,ARTIFACTS_READY,complete,"Nassim Taleb",high,43,"contexts/patterns/via-negativa/SKILL.md","SKILL.md generated 2025-12-10, 278 lines"
14,"Antifragility",mental-models,ARTIFACTS_READY,complete,"Nassim Taleb",high,46,"contexts/patterns/antifragility/SKILL.md","SKILL.md generated 2025-12-10, 226 lines (pre-existing, high quality)"
