id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"10,000 Year Clock thinking",mental-models,ARTIFACTS_READY,detailed,"Long Now Foundation",high,44,contexts/patterns/10000-year-clock/SKILL.md,"Civilization-scale timeframes - Practitioner 9/10, Clarity 9/10, ROI 8/10, Novelty 9/10, Cross-domain 9/10"
2,"Cathedral thinking",mental-models,ARTIFACTS_READY,detailed,"Long Now Foundation",high,45,contexts/patterns/cathedral-thinking/SKILL.md,"Multi-generational projects - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 8/10, Cross-domain 10/10"
3,"Long Bet Project",mental-models,ARTIFACTS_READY,detailed,"Long Now Foundation",high,40,contexts/patterns/long-bet-project/SKILL.md,"Accountable predictions with skin in game - Practitioner 8/10, Clarity 9/10, ROI 7/10, Novelty 8/10, Cross-domain 8/10"
4,"Six ways to think long-term",mental-models,ARTIFACTS_READY,detailed,"Roman Krznaric",high,39,contexts/patterns/six-ways-long-term/SKILL.md,"Cognitive toolkit for good ancestors - Practitioner 7/10, Clarity 8/10, ROI 7/10, Novelty 8/10, Cross-domain 9/10"
5,"IFTF Foresight-Insight-Action Cycle",mental-models,ARTIFACTS_READY,detailed,"Institute for the Future",high,39,contexts/patterns/iftf-foresight-insight-action/SKILL.md,"50+ years IFTF methodology - Practitioner 9/10, Clarity 8/10, ROI 7/10, Novelty 6/10, Cross-domain 9/10"
6,"Generic Foresight Process",mental-models,ARTIFACTS_READY,detailed,"Voros",high,39,contexts/patterns/generic-foresight-process/SKILL.md,"Emerald Award-winning framework - Practitioner 8/10, Clarity 9/10, ROI 7/10, Novelty 6/10, Cross-domain 9/10"
7,"Framework Foresight",mental-models,ARTIFACTS_READY,detailed,"University of Houston",high,40,contexts/patterns/framework-foresight/SKILL.md,"UH graduate program methodology - Practitioner 9/10, Clarity 9/10, ROI 7/10, Novelty 6/10, Cross-domain 9/10"
8,"Delphi Method",mental-models,ARTIFACTS_READY,detailed,"RAND Corporation",high,45,contexts/patterns/delphi-method/SKILL.md,"Anonymous iterative expert consensus - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
9,"Futures Literacy Labs",mental-models,ARTIFACTS_READY,detailed,"UNESCO - Riel Miller",high,40,contexts/patterns/futures-literacy-labs/SKILL.md,"Metacognitive futures learning - Practitioner 8/10, Clarity 7/10, ROI 7/10, Novelty 9/10, Cross-domain 9/10"
10,"Megatrends analysis",mental-models,ARTIFACTS_READY,detailed,"John Naisbitt",high,39,contexts/patterns/megatrends-analysis/SKILL.md,"Bottom-up pattern detection - Practitioner 8/10, Clarity 7/10, ROI 8/10, Novelty 7/10, Cross-domain 9/10"
11,"Experiential futures",mental-models,ARTIFACTS_READY,full-detail,"Stuart Candy - Ethnographic XF",high,43,contexts/patterns/experiential-futures/SKILL.md,"Immersive foresight through tangible artifacts and embodied experiences - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 9/10, Cross-domain 9/10 - 234 lines"
12,"Tetlock's 10 commandments",mental-models,ARTIFACTS_READY,full-detail,"Philip Tetlock - Superforecasting",high,46,contexts/patterns/tetlocks-10-commandments/SKILL.md,"Evidence-based principles from Good Judgment Project for forecast accuracy - Practitioner 10/10, Clarity 10/10, ROI 9/10, Novelty 8/10, Cross-domain 9/10 - 100 lines"
13,"Tournament-style prediction competitions",mental-models,UNKNOWN,one-liner,"Philip Tetlock",medium,0,,"Competitive forecasting method"
14,"Extremizing aggregated forecasts",mental-models,UNKNOWN,one-liner,"Philip Tetlock",medium,0,,"Forecast aggregation technique"
15,"Fox and hedgehog thinking styles",mental-models,UNKNOWN,one-liner,"Philip Tetlock",medium,0,,"Cognitive style categories"
16,"Calibration vs. discrimination trade-offs",mental-models,UNKNOWN,one-liner,"Philip Tetlock",medium,0,,"Forecasting accuracy dimensions"
17,"Shell method with critical uncertainties",mental-models,ARTIFACTS_READY,full-detail,"Royal Dutch Shell - Pierre Wack",high,44,contexts/patterns/shell-scenario-planning/SKILL.md,"Pioneering scenario planning using predetermined elements and critical uncertainties - Practitioner 10/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 9/10 - 155 lines"
18,"2x2 matrix scenario development",mental-models,ARTIFACTS_READY,full-detail,"GE/Shell - Scenario planning",high,45,contexts/patterns/2x2-scenario-matrix/SKILL.md,"Visual scenario framework mapping two critical uncertainties to generate four futures - Practitioner 9/10, Clarity 10/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10 - 199 lines"
19,"Morphological analysis for complex systems",mental-models,UNKNOWN,one-liner,"",medium,0,,"Multi-dimensional scenario technique"
20,"Horizon scanning for weak signals",mental-models,VAGUE,partial,"",high,0,,"Early trend detection method"
21,"PESTLE-based scenario construction",mental-models,VAGUE,partial,"",medium,0,,"Political Economic Social Technical Legal Environmental scenarios"
22,"Backcasting from desired futures",mental-models,VAGUE,partial,"",high,0,,"Reverse planning from future state"
23,"Three Horizons",mental-models,VAGUE,partial,"",high,0,,"Current, emerging, future time horizons"
24,"Identifying signals vs. noise",mental-models,VAGUE,partial,"",medium,0,,"Pattern detection in foresight"
25,"Cone of uncertainty",mental-models,VAGUE,partial,"",high,0,,"Future possibility space visualization"
26,"Wild cards and black swans",mental-models,VAGUE,partial,"",high,0,,"Low-probability high-impact events"
27,"Trend extrapolation vs. discontinuity",mental-models,VAGUE,partial,"",medium,0,,"Linear vs. non-linear futures"
28,"Vision, strategy, and early indicators",mental-models,VAGUE,partial,"",medium,0,,"Strategic foresight integration"
