id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Algorithm paradigms - Divide and Conquer",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Classical CS - Skiena/CLRS",high,45,contexts/patterns/divide-and-conquer/SKILL.md,"Systematic problem-solving by breaking into subproblems - 115 lines"
2,"Algorithm paradigms - Dynamic Programming",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Classical CS - Skiena/CLRS",high,50,contexts/patterns/dynamic-programming/SKILL.md,"Optimization via memoization of overlapping subproblems - 142 lines"
3,"Algorithm paradigms - Greedy Algorithms",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Classical CS - Skiena/CLRS",high,45,contexts/patterns/greedy-algorithms/SKILL.md,"Local optimal choices leading to global optimum - 152 lines"
4,"Algorithm paradigms - Backtracking",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Classical CS - Skiena/CLRS",high,40,contexts/patterns/backtracking/SKILL.md,"Systematic trial-and-error with constraint pruning - 166 lines"
5,"Data Structure Selection Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Skiena - Algorithm Design Manual",high,42,contexts/patterns/data-structure-selection/SKILL.md,"Systematic process for choosing optimal data structure - 132 lines"
6,"ML Model Selection Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Multiple sources - Huyen/Geron",high,45,contexts/patterns/ml-model-selection/SKILL.md,"Framework for matching ML algorithms to problem characteristics - 149 lines"
7,"Training Loop Patterns",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Deep Learning - Goodfellow et al.",medium,43,contexts/patterns/training-loop-patterns/SKILL.md,"Production-grade training loop patterns for deep learning - 187 lines"
8,"Feature Engineering Patterns",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Zheng & Casari - Feature Engineering",high,48,contexts/patterns/feature-engineering/SKILL.md,"Systematic techniques for transforming raw data into ML features - 175 lines"
9,"ML System Design Patterns - Batch Processing",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Google ML Design Patterns",high,45,contexts/patterns/ml-batch-processing/SKILL.md,"Pre-compute predictions on scheduled intervals for cost optimization - 143 lines"
10,"ML System Design Patterns - Streaming",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Google ML Design Patterns - Kafka",high,47,contexts/patterns/ml-streaming-inference/SKILL.md,"Real-time event processing with sub-second latency requirements - 172 lines"
11,"ML System Design Patterns - Online Learning",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Kafka-ML, IBM Research",high,46,contexts/patterns/online-learning/SKILL.md,"Continuous incremental model updates with catastrophic forgetting prevention - 188 lines"
12,"Prompt Engineering Frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Chip Huyen - AI Engineering",high,47,contexts/patterns/prompt-engineering/SKILL.md,"LLM prompt design frameworks - 135 lines"
13,"RAG (Retrieval-Augmented Generation) Patterns",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Modern LLM systems",high,48,contexts/patterns/rag-patterns/SKILL.md,"RAG implementation patterns - 143 lines"
14,"Fine-tuning Strategies",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Chip Huyen, HuggingFace PEFT",high,49,contexts/patterns/fine-tuning-strategies/SKILL.md,"Parameter-efficient methods (LoRA, adapters) for LLM task adaptation - 243 lines"
15,"Model Evaluation Frameworks",practitioner-frameworks,UNKNOWN,one-liner,"Chip Huyen - ML Systems",high,0,,"Framework for evaluating ML models"
