id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Confirmation Bias",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,38,"contexts/patterns/confirmation-bias/SKILL.md","SKILL.md generated 2025-12-08, 128 lines"
2,"Availability Heuristic",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,40,"contexts/patterns/availability-heuristic/SKILL.md","SKILL.md generated 2025-12-08, 119 lines"
3,"Anchoring",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,42,"contexts/patterns/anchoring/SKILL.md","SKILL.md generated 2025-12-08, 147 lines"
4,"Framing Effects",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,44,"contexts/patterns/framing-effects/SKILL.md","SKILL.md generated 2025-12-08, 154 lines"
5,"Attentional Bias",mental-models,ARTIFACTS_READY,complete,"Buster Benson catalog",medium,36,"contexts/patterns/attentional-bias/SKILL.md","SKILL.md generated 2025-12-08, 148 lines"
6,"Mere Exposure Effect",mental-models,ARTIFACTS_READY,complete,"Zajonc",medium,38,"contexts/patterns/mere-exposure-effect/SKILL.md","SKILL.md generated 2025-12-08, 153 lines"
7,"Context Effects",mental-models,ARTIFACTS_READY,complete,"Environmental psychology",medium,35,"contexts/patterns/context-effects/SKILL.md","SKILL.md generated 2025-12-09, 113 lines"
8,"Von Restorff Effect",mental-models,ARTIFACTS_READY,complete,"Hedwig von Restorff (1933)",medium,38,"contexts/patterns/von-restorff-effect/SKILL.md","SKILL.md generated 2025-12-09, 139 lines"
9,"Negativity Bias",mental-models,ARTIFACTS_READY,complete,"Baumeister - Bad is Stronger than Good",high,42,"contexts/patterns/negativity-bias/SKILL.md","SKILL.md generated 2025-12-09, 160 lines"
10,"Picture Superiority",mental-models,ARTIFACTS_READY,complete,"Paivio - Dual Coding Theory",medium,40,"contexts/patterns/picture-superiority/SKILL.md","SKILL.md generated 2025-12-09, 177 lines"
11,"Clustering Illusion",mental-models,ARTIFACTS_READY,complete,"Gilovich - How We Know What Isn't So",medium,38,"contexts/patterns/clustering-illusion/SKILL.md","SKILL.md generated 2025-12-09, 80 lines"
12,"Gambler's Fallacy",mental-models,ARTIFACTS_READY,complete,"Tversky & Kahneman 1971",high,41,"contexts/patterns/gamblers-fallacy/SKILL.md","SKILL.md generated 2025-12-09, 80 lines"
13,"Apophenia",mental-models,ARTIFACTS_READY,complete,"Klaus Conrad 1958",medium,40,"contexts/patterns/apophenia/SKILL.md","SKILL.md generated 2025-12-09, 80 lines"
14,"Pareidolia",mental-models,ARTIFACTS_READY,complete,"Cognitive psychology",low,33,"contexts/patterns/pareidolia/SKILL.md","SKILL.md generated 2025-12-09, 80 lines"
15,"Stereotyping",mental-models,ARTIFACTS_READY,complete,"Social psychology - categorization & DEI research",high,41,"contexts/patterns/stereotyping/SKILL.md","SKILL.md generated 2025-12-09, 152 lines"
16,"Halo Effect",mental-models,ARTIFACTS_READY,complete,"Edward Thorndike 1920",high,46,"contexts/patterns/halo-effect/SKILL.md","SKILL.md generated 2025-12-09, 154 lines"
17,"In-Group Bias",mental-models,ARTIFACTS_READY,complete,"Tajfel & Turner - Social Identity Theory",high,42,"contexts/patterns/in-group-bias/SKILL.md","SKILL.md generated 2025-12-09, 159 lines"
18,"Fundamental Attribution Error",mental-models,ARTIFACTS_READY,complete,"Lee Ross 1970s",high,44,"contexts/patterns/fundamental-attribution-error/SKILL.md","SKILL.md generated 2025-12-09, 153 lines"
19,"Base Rate Fallacy",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky - Representativeness Heuristic",high,43,"contexts/patterns/base-rate-fallacy/SKILL.md","SKILL.md generated 2025-12-09, 147 lines"
20,"Survivorship Bias",mental-models,ARTIFACTS_READY,complete,"Abraham Wald WWII aircraft analysis",high,45,"contexts/patterns/survivorship-bias/SKILL.md","SKILL.md generated 2025-12-09, 153 lines"
21,"Hindsight Bias",mental-models,ARTIFACTS_READY,complete,"Fischhoff 1975 - knew it all along",high,44,"contexts/patterns/hindsight-bias/SKILL.md","SKILL.md generated 2025-12-09, 157 lines"
22,"Overconfidence Effect",mental-models,ARTIFACTS_READY,complete,"Calibration research - distinct from Dunning-Kruger",high,45,"contexts/patterns/overconfidence-effect/SKILL.md","SKILL.md generated 2025-12-09, 166 lines"
23,"Dunning-Kruger Effect",mental-models,ARTIFACTS_READY,complete,"Dunning & Kruger 1999",high,47,"contexts/patterns/dunning-kruger-effect/SKILL.md","SKILL.md exists 125 lines (older format)"
24,"Optimism Bias",mental-models,ARTIFACTS_READY,complete,"Tali Sharot - asymmetric belief updating",high,44,"contexts/patterns/optimism-bias/SKILL.md","SKILL.md generated 2025-12-10, 180 lines"
25,"Hyperbolic Discounting",mental-models,ARTIFACTS_READY,complete,"David Laibson - beta-delta model",high,43,"contexts/patterns/hyperbolic-discounting/SKILL.md","SKILL.md generated 2025-12-10, 180 lines"
26,"Sunk Cost Fallacy",mental-models,ARTIFACTS_READY,complete,"Arkes & Blumer 1985",high,45,"contexts/patterns/sunk-cost-fallacy/SKILL.md","SKILL.md generated 2025-12-10, 178 lines"
27,"Loss Aversion",mental-models,ARTIFACTS_READY,complete,"Kahneman/Tversky",high,46,"contexts/patterns/loss-aversion/SKILL.md","SKILL.md generated 2025-12-10, 183 lines"
28,"Endowment Effect",mental-models,ARTIFACTS_READY,complete,"Thaler",high,45,"contexts/patterns/endowment-effect/SKILL.md","SKILL.md generated 2025-12-10, 211 lines"
29,"Status Quo Bias",mental-models,ARTIFACTS_READY,complete,"Samuelson & Zeckhauser",high,44,"contexts/patterns/status-quo-bias/SKILL.md","SKILL.md generated 2025-12-10, 224 lines"
30,"Ambiguity Effect",mental-models,ARTIFACTS_READY,complete,"Ellsberg",medium,42,"contexts/patterns/ambiguity-effect/SKILL.md","SKILL.md generated 2025-12-10, 249 lines"
31,"Peak-End Rule",mental-models,ARTIFACTS_READY,complete,"Kahneman",high,45,"contexts/patterns/peak-end-rule/SKILL.md","SKILL.md generated 2025-12-10, 126 lines"
