id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"High Output Management",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Andy Grove",high,50,contexts/patterns/high-output-management/SKILL.md,"Legendary management book - 138 lines"
2,"The Hard Thing About Hard Things",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Ben Horowitz",high,47,contexts/patterns/hard-thing-about-hard-things/SKILL.md,"Crisis management framework - 148 lines"
3,"Only the Paranoid Survive",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Andy Grove",high,44,contexts/patterns/only-paranoid-survive/SKILL.md,"Strategic inflection points - 162 lines"
4,"Good Strategy/Bad Strategy",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Richard Rumelt",high,46,contexts/patterns/good-strategy-bad-strategy/SKILL.md,"Kernel framework - 191 lines"
5,"Playing to Win",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Lafley & Martin",high,43,contexts/patterns/playing-to-win/SKILL.md,"Strategy cascade - 239 lines"
6,"7 Powers",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Hamilton Helmer",high,45,contexts/patterns/7-powers/SKILL.md,"Strategic competitive advantage - 93 lines"
7,"Radical Candor",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Kim Scott",high,45,contexts/patterns/radical-candor/SKILL.md,"Feedback framework - 79 lines"
8,"The Manager's Path",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Camille Fournier",high,44,contexts/patterns/managers-path/SKILL.md,"Engineering management ladder - 79 lines"
9,"The Making of a Manager",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Julie Zhuo",high,43,contexts/patterns/making-of-a-manager/SKILL.md,"Purpose/People/Process framework - 83 lines"
10,"Team Topologies",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Skelton & Pais",high,42,contexts/patterns/team-topologies/SKILL.md,"4 team types + 3 interaction modes - 88 lines"
11,"The Five Dysfunctions of a Team",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Patrick Lencioni",medium,41,contexts/patterns/five-dysfunctions-team/SKILL.md,"Hierarchical team dysfunction model - 86 lines"
12,"OKRs (Objectives & Key Results)",practitioner-frameworks,ARTIFACTS_READY,full-detail,"John Doerr - Measure What Matters",high,46,contexts/patterns/okrs/SKILL.md,"Goal-setting framework - 87 lines"
13,"The Effective Executive",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Peter Drucker",high,44,contexts/patterns/effective-executive/SKILL.md,"Five practices of effectiveness - 89 lines"
14,"Turn the Ship Around",practitioner-frameworks,ARTIFACTS_READY,full-detail,"David Marquet",medium,40,contexts/patterns/turn-ship-around/SKILL.md,"Intent-based leadership framework - 83 lines"
15,"Extreme Ownership",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Willink & Babin",medium,39,contexts/patterns/extreme-ownership/SKILL.md,"Total responsibility leadership - 87 lines"
16,"Creativity Inc.",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Ed Catmull - Pixar",medium,42,contexts/patterns/creativity-inc/SKILL.md,"Pixar's candor & Braintrust framework - 83 lines"
17,"Powerful",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Patty McCord - Netflix",medium,38,contexts/patterns/powerful/SKILL.md,"Netflix freedom & responsibility - 85 lines"
18,"Work Rules!",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Laszlo Bock - Google HR",high,39,contexts/patterns/work-rules/SKILL.md,"Data-driven People Ops framework - 149 lines"
19,"The Advantage",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Patrick Lencioni",medium,37,contexts/patterns/the-advantage/SKILL.md,"Organizational health framework - 86 lines"
20,"Leadership Is Language",practitioner-frameworks,ARTIFACTS_READY,full-detail,"David Marquet",medium,36,contexts/patterns/leadership-is-language/SKILL.md,"Communication empowerment framework - 84 lines"
21,"Multipliers",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Liz Wiseman",medium,38,contexts/patterns/multipliers/SKILL.md,"Intelligence amplification framework - 91 lines"
22,"Scaling Up",practitioner-frameworks,UNKNOWN,one-liner,"Verne Harnish",medium,0,,"Growth framework (37/50 score)"
23,"The Lean Manager",practitioner-frameworks,UNKNOWN,one-liner,"Ballé & Ballé",medium,0,,"Lean management (35/50 score)"
24,"RACI Matrix",practitioner-frameworks,ARTIFACTS_READY,complete,"Project management standard",high,45,"contexts/patterns/raci-matrix/SKILL.md","SKILL.md generated 2025-12-10, 231 lines"
25,"DACI Decision Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Intuit",high,47,contexts/patterns/daci-framework/SKILL.md,"Decision-making framework - 136 lines"
26,"RAPID Decision Framework",practitioner-frameworks,UNKNOWN,one-liner,"",high,0,,"Decision-making framework"
27,"Eisenhower Matrix",practitioner-frameworks,UNKNOWN,one-liner,"",high,0,,"Priority management framework"
28,"Delegation Levels (7 levels)",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Tannenbaum-Schmidt, Hersey-Blanchard, Marquet",high,44,contexts/patterns/delegation-levels/SKILL.md,"Progressive autonomy framework - 227 lines - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 7/10, Cross-domain 10/10"
29,"1-on-1 Frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Andy Grove, Ben Horowitz, Manager Tools",high,40,contexts/patterns/1-on-1-frameworks/SKILL.md,"Manager-employee meeting frameworks - 122 lines (pre-existing)"
30,"Performance Review Frameworks",practitioner-frameworks,UNKNOWN,one-liner,"",high,0,,"HR/performance management"
31,"Hiring Scorecards",practitioner-frameworks,UNKNOWN,one-liner,"",high,0,,"Recruiting framework"
32,"Organizational Design Patterns",practitioner-frameworks,UNKNOWN,one-liner,"",high,0,,"Org structure frameworks"
33,"Hoshin Kanri",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Toyota, Yoji Akao",medium,43,contexts/patterns/hoshin-kanri/SKILL.md,"Strategic policy deployment - 200 lines (pre-existing)"
34,"OGSM",practitioner-frameworks,UNKNOWN,one-liner,"",medium,0,,"Strategic planning framework (Objectives Goals Strategies Measures)"
35,"First Round Review",practitioner-frameworks,UNKNOWN,one-liner,"",medium,0,,"Operational advice blog"
36,"Manager Tools Podcast",practitioner-frameworks,UNKNOWN,one-liner,"",medium,0,,"Management frameworks archive"
37,"Gitlab Handbook",practitioner-frameworks,UNKNOWN,one-liner,"",medium,0,,"Public management practices"
38,"Basecamp Handbook",practitioner-frameworks,UNKNOWN,one-liner,"",medium,0,,"Management philosophy - Rework blog"
