id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"5 Whys",mental-models,ARTIFACTS_READY,detailed,"Toyota Production System",high,42,contexts/patterns/5-whys/SKILL.md,"Root cause analysis technique - Practitioner 9/10, Clarity 9/10, ROI 8/10, Novelty 6/10, Cross-domain 10/10"
2,"Fishbone Diagram (Ishikawa)",mental-models,ARTIFACTS_READY,detailed,"Kaoru Ishikawa",high,43,contexts/patterns/fishbone-diagram/SKILL.md,"Visual root cause analysis tool - Practitioner 9/10, Clarity 9/10, ROI 9/10, Novelty 6/10, Cross-domain 10/10"
3,"Fault Tree Analysis",mental-models,ARTIFACTS_READY,detailed,"Bell Labs 1962 - H.A. Watson",high,39,contexts/patterns/fault-tree-analysis/SKILL.md,"Top-down deductive failure analysis - Practitioner 9/10, Clarity 8/10, ROI 9/10, Novelty 5/10, Cross-domain 8/10"
4,"FMEA (Failure Mode Effects Analysis)",mental-models,ARTIFACTS_READY,detailed,"US Military 1940s / AIAG-VDA",high,43,contexts/patterns/fmea/SKILL.md,"Bottom-up risk prioritization using RPN - Practitioner 10/10, Clarity 9/10, ROI 10/10, Novelty 4/10, Cross-domain 10/10"
5,"Causal Tree Analysis",mental-models,ARTIFACTS_READY,detailed,"RCA methodology",high,38,contexts/patterns/causal-tree-analysis/SKILL.md,"Hierarchical investigation with necessity/sufficiency logic - Practitioner 7/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 9/10"
6,"Change Analysis",mental-models,ARTIFACTS_READY,detailed,"Incident investigation technique",high,42,contexts/patterns/change-analysis/SKILL.md,"Temporal comparison RCA method - Practitioner 8/10, Clarity 9/10, ROI 8/10, Novelty 7/10, Cross-domain 10/10"
7,"TRIZ (40 Inventive Principles)",mental-models,KNOWN,detailed,"Genrich Altshuller",high,0,,"Russian innovation framework based on 200k patents. 40 principles: Segmentation, taking out, asymmetry, nested doll, inversion, beforehand cushioning, intermediary, self-service, blessing in disguise. Includes contradiction matrix"
8,"Segmentation (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-segmentation/SKILL.md,"Divide systems into independent parts - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
9,"Taking Out (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-taking-out/SKILL.md,"Extract interfering or essential parts - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
10,"Asymmetry (TRIZ Principle)",mental-models,ARTIFACTS_READY,detailed,"Genrich Altshuller - TRIZ",high,39,contexts/patterns/triz-asymmetry/SKILL.md,"Break symmetry to optimize function - Practitioner 9/10, Clarity 8/10, ROI 8/10, Novelty 6/10, Cross-domain 8/10"
