id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Design of Everyday Things principles",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Don Norman",high,48,contexts/patterns/design-of-everyday-things/SKILL.md,"Human-centered design principles - affordances, signifiers, mappings, feedback - 84 lines"
2,"Don't Make Me Think usability principles",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Steve Krug",high,48,contexts/patterns/dont-make-me-think/SKILL.md,"Web usability methodology - 130 lines"
3,"WCAG (Web Content Accessibility Guidelines)",practitioner-frameworks,ARTIFACTS_READY,full-detail,"W3C accessibility standards",high,45,contexts/patterns/wcag/SKILL.md,"W3C accessibility standards with POUR principles and conformance levels - 142 lines"
4,"ARIA (Accessible Rich Internet Applications)",practitioner-frameworks,ARTIFACTS_READY,full-detail,"W3C accessibility standards",high,43,contexts/patterns/aria/SKILL.md,"Semantic roles, states, properties for accessible web applications - 172 lines"
5,"Material Design",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Google design system",high,45,contexts/patterns/material-design/SKILL.md,"Google's comprehensive design system with Material 3 Expressive motion and components - 88 lines"
6,"Human Interface Guidelines",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Apple design standards",high,45,contexts/patterns/human-interface-guidelines/SKILL.md,"Apple's comprehensive design principles for iOS, macOS, watchOS, tvOS, visionOS - 106 lines"
7,"Laws of UX",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Jon Yablonski",high,45,contexts/patterns/laws-of-ux/SKILL.md,"21 psychology-based design principles including Fitts's Law, Hick's Law, Jakob's Law - 115 lines"
8,"Refactoring UI principles",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Adam Wathan & Steve Schoger",high,44,contexts/patterns/refactoring-ui/SKILL.md,"Practical design tactics for developers - hierarchy, spacing, color systems - 106 lines"
9,"Nielsen Norman Group heuristics",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Jakob Nielsen",high,50,contexts/patterns/nielsen-heuristics/SKILL.md,"10 usability heuristics for interface design - 135 lines"
10,"Design systems",practitioner-frameworks,ARTIFACTS_READY,full-detail,"General methodology",high,45,contexts/patterns/design-systems/SKILL.md,"Comprehensive methodology with Atomic Design, design tokens, governance - 109 lines"
11,"Information architecture frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"IA Institute methodologies",high,41,contexts/patterns/information-architecture-frameworks/SKILL.md,"LATCH framework, navigation systems, taxonomy design - Wurman, Covert - 85 lines"
12,"Interaction design patterns",practitioner-frameworks,ARTIFACTS_READY,full-detail,"General UX practice",high,44,contexts/patterns/interaction-design-patterns/SKILL.md,"Reusable UI solutions for navigation, input, feedback - Jenifer Tidwell - 85 lines"
13,"Visual hierarchy principles",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Design fundamentals",high,42,contexts/patterns/visual-hierarchy-principles/SKILL.md,"Size, color, contrast, spacing, Gestalt principles for attention guidance - 86 lines"
14,"User research methodologies",practitioner-frameworks,ARTIFACTS_READY,full-detail,"General UX research",high,44,contexts/patterns/user-research-methodologies/SKILL.md,"Interviews, usability testing, surveys, field studies - Nielsen Norman Group - 87 lines"
15,"Component library design",practitioner-frameworks,UNKNOWN,one-liner,"Design system practice",medium,0,,"Reusable UI component architecture"
