id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Growth Loop Frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Reforge growth series",high,47,contexts/patterns/growth-loop-frameworks/SKILL.md,"Self-reinforcing growth systems - 94 lines"
2,"Distribution Channel Strategies",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Gabriel Weinberg - Traction",high,47,contexts/patterns/traction-framework/SKILL.md,"19 channels + Bullseye Framework - 97 lines"
3,"Viral Mechanics",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Andrew Chen - Cold Start Problem",high,44,contexts/patterns/viral-mechanics/SKILL.md,"Viral coefficient and k-factor framework - 97 lines"
4,"Referral Systems",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Sean Ellis - Hacking Growth",high,45,contexts/patterns/referral-systems/SKILL.md,"Systematic referral program design - 99 lines"
5,"Conversion Optimization Methodologies",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Reforge/Sean Ellis",medium,46,contexts/patterns/conversion-optimization-methodologies/SKILL.md,"ICE/PIE/PXL prioritization frameworks - 99 lines"
6,"Retention and Engagement Frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Nir Eyal - Hooked",high,47,contexts/patterns/retention-engagement-frameworks/SKILL.md,"Cohort analysis and habit formation - 105 lines"
7,"Pricing Strategy Models",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Multiple sources",medium,45,contexts/patterns/pricing-strategy-models/SKILL.md,"Value-based pricing and psychological tactics - 119 lines"
8,"Cold Start Problem Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Andrew Chen",high,48,contexts/patterns/cold-start-problem/SKILL.md,"Network effect bootstrapping - 145 lines"
9,"Hooked Model",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Nir Eyal",high,48,contexts/patterns/hooked-model/SKILL.md,"Habit formation through 4-stage cycle - 153 lines"
10,"Traction Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Gabriel Weinberg",high,47,contexts/patterns/traction-framework-19-channels/SKILL.md,"19 channels + Bullseye Framework - 115 lines"
11,"Growth Accounting",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Brian Balfour",medium,46,contexts/patterns/growth-accounting/SKILL.md,"User growth decomposition framework - 92 lines"
12,"Reforge Growth Series Frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Reforge",high,48,contexts/patterns/reforge-growth-series/SKILL.md,"Complete growth methodology - 94 lines"
13,"Product-Market Fit Engine",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Sean Ellis",high,49,contexts/patterns/pmf-engine-sean-ellis/SKILL.md,"40% test and PMF measurement - 94 lines"
14,"Viral Coefficient Models",practitioner-frameworks,ARTIFACTS_READY,complete,"Andrew Chen",high,46,"contexts/patterns/viral-coefficient-models/SKILL.md","SKILL.md generated 2025-12-10, 219 lines"
15,"North Star Metric Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Sean Ellis/Amplitude",high,49,contexts/patterns/north-star-metric/SKILL.md,"Core metric identification and optimization - 142 lines"
